Group,CMTS_Name,CMTS_DS_Port,FDAM_Location,TX_No,TX_Location,Coupler_Location,Coupler_Split(%),TX_Patch_Panel,Tx_Distance,Tx_Optical_Light,Node_Id,Node_Id_Before,Node_Name,RX_Optical_Light,RX_Distance,RX_Patch_Panel,RX_No,RX_Location,CMTS_US_Port,CMTS_US_Freq,RX_Losses,Remarks
G1,SLM-CMTS-20,Cable0/0/0,G1-1,1,G-1-2,1/1/2001,75,1/2/2023,5765,-,DSL00100,-,CEMPAKA PUTIH A,-,5765,1/2/2023,1,E1-1B,Cable0/0/0,-,35,
G1,SLM-CMTS-20,Cable0/0/0,G1-1,1,G-1-2,1/1/2001,25,1/2/2009,7941,-,DSL00800,-,PISANGAN AREA (2),-,7941,1/2/2009,2,E1-2A,Cable0/0/1,-,30,
G2,SLM-CMTS-20,Cable0/0/1,G1-1,2,G-1-3,1/1/2002,33,1/2/2005,8221,-,DSL01300,DKG355,JOHAR BARU AREA (5),-,8221,1/2/2005,2,E1-2B,Cable0/0/2,-,35,
G2,SLM-CMTS-20,Cable0/0/1,G1-1,2,G-1-3,1/1/2002,33,1/2/2027,6534,-,DSl00200,DKG055,CEMPAKA PUTIH B,-,6534,1/2/2027,3,E1-3A,Cable0/0/3,-,38,
G3,SLM-CMTS-20,Cable0/0/2,G1-1,3,G-1-4,1/1/2003,50,1/2/2029,6508,-,DSL00400,DKG057,CEMPAKA PUTIH A (E),-,6508,1/2/2029,3,E1-3B,Cable0/0/4,-,30,
G3,SLM-CMTS-20,Cable0/0/2,G1-1,3,G-1-4,1/1/2003,50(50),1/7/2023,6268,-,DSL17400,SPLIT DSL101,KUNINGAN AC,-,6268,1/7/2023,1,D4-71B,Cable0/0/5,-,38,
G4,SLM-CMTS-20,Cable0/0/3,G1-1,4,G-1-5,1/1/2004,50,1/2/2011,8093,-,DSL00600,DKG045,KRAMAT JAYA BARU,-,8093,1/2/2011,4,E1-4B,Cable0/0/6,-,38,
G4,SLM-CMTS-20,Cable0/0/3,G1-1,5,G-1-6,DIRECT,100,1/2/2007,15002,-,DSL00700,DKG346,PISANGAN AREA (1),-,15002,1/2/2007,5,E1-5A,Cable0/0/7,-,33,
G5,SLM-CMTS-20,Cable0/0/4,G1-1,6,G-1-7,1/1/2006,25,1/1/1933,11662,-,DSL25300,DKG232,-,-,11662,1/1/1933,2,E3-22B,Cable0/0/8,-,27,
G5,SLM-CMTS-20,Cable0/0/4,G1-1,6,G-1-7,0,0,-,-,-,DSL25400,DKG233,-,-,-,-,-,-,Cable0/0/9,-,-,
G6,SLM-CMTS-20,Cable0/0/5,G1-1,7,G-1-8,1/1/2007,50,1/2/1939,8229,-,DSL02300,DKG175,CEMPAKA PUTIH BARAT AREA (1),-,8229,1/2/1939,6,E1-6B,Cable0/0/10,-,33,
