Link_Name,Link_Type,SERVICE,Rack,OTB,Port,Distance (m),KET
DSL05500,RX,TV + INTERNET,1,1,1,16104,OK
DSL05500,TX,TV + INTERNET,1,1,2,16104,OK
DSL01600,TX,TV + INTERNET,1,1,3,10078,OK
DSL01600,RX,TV + INTERNET,1,1,4,10078,OK
IDLE EX-DSL048 RX,,,1,1,5,15385,IDLE
C00044-115_CIMB CEMPAKA PUTIH (CPK),,3,1,1,6,6220,OK
DSL25900,TX,TV + INTERNET,1,1,7,15998,OK
PUSDATIN,,DCS,1,1,8,3712,OK
DSL03200,TX,TV + INTERNET,1,1,9,6564,OK
PRIMERY TASPEN,,DCS,1,1,10,6391,OK
IDLE EX-DSL058 TX,,,1,1,11,18380,IDLE
IDLE EX-DSL058 RX,,,1,1,12,18380,IDLE
DSL01700,RX,TV + INTERNET,1,1,13,9798,OK
DSL01700,TX,TV + INTERNET,1,1,14,9798,OK
DSL24600,RX,TV + INTERNET,1,1,15,8257,OK
DSL24600,TX,TV + INTERNET,1,1,16,8257,OK
DSL25700,TX,TV + INTERNET,1,1,17,11820,OK
DSL25700,RX,TV + INTERNET,1,1,18,11820,OK
DSL25600,TX,TV + INTERNET,1,1,19,11813,OK
DSL25600,RX,TV + INTERNET,1,1,20,11028,OK
DSL24000,TX,TV + INTERNET,1,1,21,8035,OK
DSL24000,RX,TV + INTERNET,1,1,22,8037,OK
DSL22500,RX,TV + INTERNET,1,1,23,6748,OK
DSL22500,TX,TV + INTERNET,1,1,24,6754,OK
DSL01200,RX,TV + INTERNET,1,1,25,10179,
DSL01200,TX,TV + INTERNET,1,1,26,9944,
DSL24200,RX,TV + INTERNET,1,1,27,8028,
DSL24200,TX,TV + INTERNET,1,1,28,8030,
DSL23900,TX,TV + INTERNET,1,1,29,7816,
DSL23900,RX,TV + INTERNET,1,1,30,7816,
IDLE / PMS-PE-01 to SLM-PE-04 / yang kepake,,TV + INTERNET,1,1,31,12579,
DCS  TAVIA HERIGATE HOTEL JAKARTA (LINK HUB SALEMBA),,TV + INTERNET,1,1,32,6148,
DSL25300,TX,TV + INTERNET,1,1,33,11662,
DSL25300,RX,TV + INTERNET,1,1,34,11662,
DSL25500,RX,TV + INTERNET,1,1,35,12303,
DSL25500,TX,TV + INTERNET,1,1,36,12303,
DSL03000,TX,TV + INTERNET,1,1,37,7204,
DSL03000,RX,TV + INTERNET,1,1,38,7211,
DSL24500,RX,TV + INTERNET,1,1,39,9718,
DSL24500,TX,TV + INTERNET,1,1,40,9718,
DSL25400,RX,TV + INTERNET,1,1,41,12085,
DSL25400,TX,TV + INTERNET,1,1,42,12085,
DSL24100,RX,TV + INTERNET,1,1,43,8251,
DSL24100,TX,TV + INTERNET,1,1,44,8254,
DSL02500,TX,TV + INTERNET,1,1,45,4115,
DSL02500,RX,TV + INTERNET,1,1,46,4115,
HOTEL HOLIDAY INN JIEXPO,,TV DVBT,1,1,47,11598,
DSL25900,RX,TV + INTERNET,1,1,48,15780,
DSL25000,TX,TV + INTERNET,1,1,49,4545,
DSL25000,RX,TV + INTERNET,1,1,50,4545,
D00218-059_DINAS TATA AIR - Pemerintah Provinsi DKI (Sunter Selatan),,DCS,1,1,51,8630,
IDLE,,,,,,,
DSL03900,RX,TV + INTERNET,1,1,53,14035,10690
DSL03800,TX,TV + INTERNET,1,1,54,14044,
DSL03800,RX,TV + INTERNET,1,1,55,14039,
DSL03900,TX,TV + INTERNET,1,1,56,14078,10690
REBUILD BB JBU02 TO HUB SALEMBA / HUBSLM > SLM-PE-31,TX,TV + INTERNET,1,1,57,3118,
REBUILD BB JBU02 TO HUB SALEMBA / HUBSLM > SLM-PE-31,RX,TV + INTERNET,1,1,58,3118,
TV Reformerd 21,,,1,1,59,1091,
GRII CG-SALEMBA ARAH GRII KEMAYORAN,,DCS,1,1,60,8800,
DSL03600,TX,TV + INTERNET,1,1,61,10691,
DSL03600,RX,TV + INTERNET,1,1,62,10691,
MDS JEXPO EVENT PRJ,,DCS,1,1,63,1091,
DSL18600,RX,TV + INTERNET,1,1,64,12438,
CITRA TOWER PRIMARY ( CTR-PE-01 TO SLM-PE-02 ),,SPYDER,1,1,65,7910,
CITRA TOWER PRIMARY ( CTR-PE-01 TO SLM-PE-02 ),,SPYDER,1,1,66,7912,
DSL03500,RX,TV + INTERNET,1,1,67,13425,
DSL03500,TX,TV + INTERNET,1,1,68,13425,
DSL02800,TX,TV + INTERNET,1,1,69,5730,
DSL02800,RX,TV + INTERNET,1,1,70,5730,
DSL02600,RX,TV + INTERNET,1,1,71,4731,
DSL02600,TX,TV + INTERNET,1,1,72,4723,
DWDM SLM-UJM,,BACKBONE,1,2,1,23834,
DWDM SLM-UJM,,BACKBONE,1,2,2,23817,
SLM-PE-10 to UJM-PE-20 TX / SLM TO KLG,,BACKBONE,1,2,3,23641,
SLM-PE-10 to UJM-PE-20 RX / SLM TO KLG,,BACKBONE,1,2,4,23666,
DSL01300,TX,TV + INTERNET,1,2,5,8221,
DSL01300,RX,TV + INTERNET,1,2,6,8226,
DSL00700,RX,TV + INTERNET,1,2,7,15002,
DSL00700,TX,TV + INTERNET,1,2,8,15002,
DSL00800,RX,TV + INTERNET,1,2,9,7941,
DSL00800,TX,TV + INTERNET,1,2,10,7941,
DSL00600,TX,TV + INTERNET,1,2,11,8093,
DSL00600,RX,TV + INTERNET,1,2,12,8093,
DSL01500,TX,TV + INTERNET,1,2,13,8278,
DSL01500,RX,TV + INTERNET,1,2,14,8278,
DSL01100,TX,TV + INTERNET,1,2,15,9423,
DSL01100,RX,TV + INTERNET,1,2,16,9412,
DSL02000,RX,TV + INTERNET,1,2,17,7803,
DSL02000,TX,TV + INTERNET,1,2,18,7802,
DSL01900,TX,TV + INTERNET,1,2,19,7461,
DSL01900,RX,TV + INTERNET,1,2,20,7463,
DSL01800,TX,TV + INTERNET,1,2,21,3766,
DSL01800,RX,TV + INTERNET,1,2,22,3766,
DSL00100,RX,TV + INTERNET,1,2,23,5765,
DSL00100,TX,TV + INTERNET,1,2,24,5765,
DSL00500,TX,TV + INTERNET,1,2,25,7271,
DSL00500,RX,TV + INTERNET,1,2,26,7271,
DSL00200,TX,TV + INTERNET,1,2,27,6534,
DSL00200,RX,TV + INTERNET,1,2,28,6535,
DSL00400,RX,TV + INTERNET,1,2,29,6508,
DSL00400,TX,TV + INTERNET,1,2,30,6504,
DSL00300,TX,TV + INTERNET,1,2,31,6217,
DSL00300,RX,TV + INTERNET,1,2,32,6217,
DSL03100,TX,TV + INTERNET,1,2,33,7847,
DSL03100,RX,TV + INTERNET,1,2,34,7847,
DSL03200,RX,TV + INTERNET,1,2,35,6557,
L00090-006_PRODIA DIACTRO LABORATORIES,,DCS,1,2,36,2156,
DSL02400,TX,TV + INTERNET,1,2,37,6608,
DSL02400,RX,TV + INTERNET,1,2,38,6607,
DSL02300,TX,TV + INTERNET,1,2,39,8229,
DSL02300,RX,TV + INTERNET,1,2,40,8224,
DSL02200,TX,TV + INTERNET,1,2,41,7275,
DSL02200,RX,TV + INTERNET,1,2,42,7272,
DSL02100,TX,TV + INTERNET,1,2,43,6026,
DSL02100,RX,TV + INTERNET,1,2,44,6027,
DSL18000,RX,TV + INTERNET,1,2,45,3044,
DSL18000,TX,TV + INTERNET,1,2,46,3044,
GRAHA MIR,RX,TV + INTERNET,1,2,47,12.078,
IDLE,,,1,2,48,,
DSL02900,RX,TV + INTERNET,1,2,49,10973,
DSL02900,TX,TV + INTERNET,1,2,50,10973,
DSL00900,RX,TV + INTERNET,1,2,51,8654,
DSL00900,TX,TV + INTERNET,1,2,52,8660,
DSL01000,TX,TV + INTERNET,1,2,53,8266,
DSL01000,RX,TV + INTERNET,1,2,54,8265,
DSL01400,TX,TV + INTERNET,1,2,55,8751,
DSL01400,RX,TV + INTERNET,1,2,56,8751,
DSL02700,TX,TV + INTERNET,1,2,57,4712,
DSL02700,RX,TV + INTERNET,1,2,58,4712,
Pusat Data Dan Informasi Cipta Karya Tata Ruang Dan Pertanahan (johar baru),,TV + INTERNET,1,2,59,2871,
SLM-PE-12 to STR-PE-01_Redundant,TX,TV + INTERNET,1,2,60,11040,
BPOM RI  ( SLM ? PE 02 PORT 10 ),,DCS,1,2,61,1435,
IDLE,,,1,2,62,,
DCS PT. JUKE SOLUSI TEKNOLOGI,,DCS,1,2,63,1079,
BANK PERMATA SUPRAPTO,,DCS,1,2,64,6297,
DSL03400,RX,TV + INTERNET,1,2,65,8111,
DSL03400,TX,TV + INTERNET,1,2,66,8105,
DSL03300,TX,TV + INTERNET,1,2,67,10958,
DSL03300,RX,TV + INTERNET,1,2,68,11123,
DSL08400,TX,TV + INTERNET,1,2,69,5534,
DSL08400,RX,TV + INTERNET,1,2,70,5370,
BPOM RI ( SLM ? PE 02 PORT 8 ),,DCS,1,2,71,1436,
KECAMATAN JOHAR BARU,,DCS,1,2,72,4576,
DSL12400,TX,TV + INTERNET,1,3,1,7247,
DSL12400,RX,TV + INTERNET,1,3,2,7244,
IDLE,,DCS,1,3,3,4454,
DCS DISJARAH TNI AL,,,1,3,4,,
DCS HOLIDAY IN GAJAH MADA,,,1,3,5,18138,
ASL223 HOTEL PULLMAN TAMRIN  (TV),TX,TV,1,3,6,9202,
HOTEL ARYADUTA (TV),,TV CORPORATE DIGI/ANALOG,1,3,7,3879,
DSL17900,RX,TV + INTERNET,1,3,8,3074,
HOTEL ASHLEY WAHID HASYIM,,TV ONLY ANALOG,1,3,9,9900,
WIN HOTEL,,DCS,1,3,10,9627,
HOTEL MERCURE CIKINI,PAKET OPTIMA,TV ONLY ANALOG,1,3,11,5308,
DCS SPIDER GRAHA MANDIRI,,SPYDER,1,3,12,7570,
DCS SLM-PE-10 TO VNL-PE-01 / DCS SPIDER PINILION PRIMARI,,SPYDER,1,3,13,2329,
DCS SLM-PE-10 TO VNL-PE-01 / DCS SPIDER PINILION PRIMARI,,SPYDER,1,3,14,2329,
EONA DWDM SLM <> BDN UJB,,BACKBONE,1,3,15,-,
EONA DWDM SLM <> BDN UJB,,BACKBONE,1,3,16,-,
EONA DWDM SLM <> BDN UJB,,BACKBONE,1,3,17,19236,21000 m
EONA DWDM SLM <> BDN UJB,,BACKBONE,1,3,18,19192,21000 m
MDS PASAR BARU,,DCS,1,3,19,8579,
NOVOTEL MANGGA DUA (TV) terminet info RDHN / 27.11.2023,,TV ONLY ANALOG,1,3,20,13252,
PUSKESMAS KECAMATAN SENEN,,PE,1,3,21,3523,
ASKOM SW-01 RX,,DCS,1,3,22,1705,
ASKOM SW-01 TX,,DCS,1,3,23,1705,
HOTEL ZIO SANNO MENTENG,,,1,3,24,7970,
DCS UOB KUSTODIAN / ks-idx-uobbank,,DCS,1,3,25,8991,
WAHANA DUTA JAYA,,DCS,1,3,26,5446,
DSL11200,TX,TV + INTERNET,1,3,27,5564,
DSL11200,RX,TV + INTERNET,1,3,28,5564,
DSL12300,TX,TV + INTERNET,1,3,29,7451,
DSL12300,RX,TV + INTERNET,1,3,30,7451,
DSL22200,TX,TV + INTERNET,1,3,31,6530,
DSL22200,RX,TV + INTERNET,1,3,32,6530,
ASURANSI JASA INDONESIA (HDIPA 100/1000Mbps),,DCS,1,3,33,5.753,
BACKBONE ANALOG CG-KG via SALEMBA (ARAH CG),,BACKBONE,1,3,34,13924,
[CG-P-04][Te0/1/0/3/8] SLM?PE-10 TO CG-P-04,,BACKBONE,1,3,35,5621,
[CG-P-04][Te0/1/0/3/8] SLM?PE-10 TO CG-P-04,,BACKBONE,1,3,36,13922,
IDLE,,,1,3,37,,
IDLE,,,1,3,38,,
DCS TIMUR RAYA ALAM DAMAI udh terminite   idlle,,DCS,1,3,39,16465,
DCS BANGUN CEMARA 2 REDUNDANT,,DCS,1,3,40,7858,
DIGITAL SALEMBA REDUNDANT 2 FROM BSP,,BACKBONE,1,3,41,29043,
PE-CG-KG via SALEMBA TX (ARAH CG),,PATCHING,1,3,42,27449,
PE-CG-KG via SALEMBA RX (ARAH CG),,PATCHING,1,3,43,27583,
IDLE,,,1,3,44,,
SLM-PE-10 to GMP-PE-02,,BACKBONE,1,3,45,10666,
DCS WALI GEREJA,,,1,3,46,-,
SLM-PE-10 to GMP-PE-02,,BACKBONE,1,3,47,3600,
IDLE,,,1,3,48,-,
DSL12700,TX,TV + INTERNET,1,3,49,4506,
DCS PROFINDO SECURITAS,,DCS,1,3,50,8447,
DSL13500,TX,TV + INTERNET,1,3,51,7105,
WAHANA DEUTSCHE BANK (slm pe-02 port 14),,,1,3,52,-,
HOTEL DES INDES ASL20700,,TV ONLY ANALOG,1,3,53,5563,
HOTEL MAX ONE SABANG,,TV ONLY ANALOG,1,3,54,7270,
HOTEL GORDEN TULIP ASL11600,,TV ONLY ANALOG,1,3,55,8124,
DSL10100,RX,TV + INTERNET,1,3,56,6382,
HOTEL LUWANSA,,TV ONLY ANALOG,1,3,57,10.361,
DSL10100,TX,TV + INTERNET,1,3,58,6382,
DCS TRIKARYA IDEA SAKTI,,DCS,1,3,59,8098,
PT SETKER TNI AL ( MAKO KORMAR )  ( MABES ),,DCS,1,3,60,9869,
INTERNUSA TRIBUANA CITRA(DIGITAL QUANTUM),,DCS,1,3,61,9735,9735
DCS KWI (KONFRENSI WALI GEREJA),,DCS,1,3,62,5879,
IDLE,,,1,3,63,,
MAXONE HAYAM WURUK,,TV ONLY ANALOG,1,3,64,13922,
